Index, Average Execution Time (Seconds), Average Execution Time (Nanoseconds)
1, 0.000000389000, 389
2, 0.000000069667, 69
3, 0.000000111000, 111
4, 0.000000124667, 124
5, 0.000000166333, 166
6, 0.000000263667, 263
7, 0.000000333667, 333
8, 0.000000444667, 444
9, 0.000000638667, 638
10, 0.000000986000, 986
11, 0.000001430333, 1430
12, 0.000002236000, 2236
13, 0.000003472333, 3472
14, 0.000005625333, 5625
15, 0.000008930667, 8930
16, 0.000014402667, 14402
17, 0.000021416667, 21416
18, 0.000033278000, 33278
19, 0.000052667000, 52667
20, 0.000089972667, 89972
21, 0.000147250000, 147250
22, 0.000237819333, 237819
23, 0.000363986000, 363986
24, 0.000590708000, 590708
25, 0.000884639000, 884639
26, 0.001224014000, 1224014
27, 0.002379111000, 2379111
28, 0.004759250000, 4759250
29, 0.008148403000, 8148403
30, 0.009244180333, 9244180
31, 0.013340986000, 13340986
32, 0.019091902667, 19091902
33, 0.023254083333, 23254083
34, 0.031355736333, 31355736
35, 0.048408236333, 48408236
36, 0.076465083333, 76465083
37, 0.125053277667, 125053277
38, 0.198746291667, 198746291
39, 0.319647250000, 319647250
40, 0.504469764000, 504469764
41, 0.835826013667, 835826013
42, 1.306214403000, 1306214403
43, 2.121465055667, 2121465055
44, 3.413108833333, 3413108833
45, 5.481073430667, 5481073430
46, 8.850469930333, 8850469930
47, 14.774913638667, 14774913638
48, 23.455263763667, 23455263763
49, 38.201000944333, 38201000944
50, 61.925525555667, 61925525555
