Index,Fibonacci Number,Execution Time (seconds),Execution Time (nanoseconds)
1,1,0.000000875000,875
2,1,0.000000166000,166
3,2,0.000000625000,625
4,3,0.000000250000,250
5,5,0.000000333000,333
6,8,0.000000334000,334
7,13,0.000000333000,333
8,21,0.000000375000,375
9,34,0.000000333000,333
10,55,0.000000375000,375
11,89,0.000000375000,375
12,144,0.000000459000,459
13,233,0.000000417000,417
14,377,0.000000417000,417
15,610,0.000000375000,375
16,987,0.000000500000,500
17,1597,0.000000417000,417
18,2584,0.000000458000,458
19,4181,0.000000416000,416
20,6765,0.000000458000,458
21,10946,0.000000417000,417
22,17711,0.000000458000,458
23,28657,0.000000458000,458
24,46368,0.000000500000,500
25,75025,0.000000458000,458
26,121393,0.000000458000,458
27,196418,0.000000459000,459
28,317811,0.000000541000,541
29,514229,0.000000458000,458
30,832040,0.000000541000,541
31,1346269,0.000000542000,542
32,2178309,0.000000542000,542
33,3524578,0.000000459000,459
34,5702887,0.000000500000,500
35,9227465,0.000000500000,500
36,14930352,0.000000542000,542
37,24157817,0.000000542000,542
38,39088169,0.000000542000,542
39,63245986,0.000000583000,583
40,102334155,0.000000584000,584
41,165580141,0.000000541000,541
42,267914296,0.000000541000,541
43,433494437,0.000000500000,500
44,701408733,0.000000542000,542
45,1134903170,0.000000500000,500
46,1836311903,0.000000583000,583
47,2971215073,0.000000584000,584
48,4807526976,0.000000625000,625
49,7778742049,0.000000708000,708
50,12586269025,0.000000625000,625
51,20365011074,0.000000583000,583
52,32951280099,0.000000541000,541
53,53316291173,0.000000542000,542
54,86267571272,0.000000583000,583
55,139583862445,0.000000541000,541
56,225851433717,0.000000584000,584
57,365435296162,0.000000584000,584
58,591286729879,0.000000625000,625
59,956722026041,0.000000583000,583
60,1548008755920,0.000000625000,625
61,2504730781961,0.000000583000,583
62,4052739537881,0.000000583000,583
63,6557470319842,0.000000500000,500
64,10610209857723,0.000000416000,416
65,17167680177565,0.000000458000,458
66,27777890035288,0.000000416000,416
67,44945570212853,0.000000458000,458
68,72723460248141,0.000000459000,459
69,117669030460994,0.000000375000,375
70,190392490709135,0.000000416000,416
71,308061521170129,0.000000459000,459
72,498454011879264,0.000000458000,458
73,806515533049393,0.000000375000,375
74,1304969544928657,0.000000416000,416
75,2111485077978050,0.000000416000,416
76,3416454622906707,0.000000458000,458
77,5527939700884757,0.000000458000,458
78,8944394323791464,0.000010083000,10083
79,14472334024676221,0.000000458000,458
80,23416728348467685,0.000000417000,417
81,37889062373143906,0.000000416000,416
82,61305790721611591,0.000000458000,458
83,99194853094755497,0.000000458000,458
84,160500643816367088,0.000000459000,459
85,259695496911122585,0.000000417000,417
86,420196140727489673,0.000000458000,458
87,679891637638612258,0.000000458000,458
88,1100087778366101931,0.000000500000,500
89,1779979416004714189,0.000000417000,417
90,2880067194370816120,0.000000459000,459
91,4660046610375530309,0.000000459000,459
92,7540113804746346429,0.000000500000,500
93,-6246583658587674878,0.000000541000,541
94,1293530146158671551,0.000000500000,500
95,-4953053512429003327,0.000000500000,500
96,-3659523366270331776,0.000000500000,500
97,-8612576878699335103,0.000000417000,417
98,6174643828739884737,0.000000375000,375
99,-2437933049959450366,0.000000416000,416
100,3736710778780434371,0.000000459000,459
101,1298777728820984005,0.000000458000,458
102,5035488507601418376,0.000000458000,458
103,6334266236422402381,0.000000500000,500
104,-7076989329685730859,0.000000500000,500
105,-742723093263328478,0.000000458000,458
106,-7819712422949059337,0.000000500000,500
107,-8562435516212387815,0.000000416000,416
108,2064596134548104464,0.000000500000,500
109,-6497839381664283351,0.000000459000,459
110,-4433243247116178887,0.000000458000,458
111,7515661444929089378,0.000000459000,459
112,3082418197812910491,0.000000500000,500
113,-7848664430967551747,0.000000416000,416
114,-4766246233154641256,0.000000459000,459
115,5831833409587358613,0.000000500000,500
116,1065587176432717357,0.000000459000,459
117,6897420586020075970,0.000000458000,458
118,7963007762452793327,0.000000500000,500
119,-3586315725236682319,0.000000500000,500
120,4376692037216111008,0.000000541000,541
121,790376311979428689,0.000000500000,500
122,5167068349195539697,0.000000500000,500
123,5957444661174968386,0.000000458000,458
124,-7322231063339043533,0.000000500000,500
125,-1364786402164075147,0.000000542000,542
126,-8687017465503118680,0.000000542000,542
127,8394940206042357789,0.000000500000,500
128,-292077259460760891,0.000000542000,542
129,8102862946581596898,0.000000459000,459
130,7810785687120836007,0.000000459000,459
131,-2533095440007118711,0.000000458000,458
132,5277690247113717296,0.000000458000,458
133,2744594807106598585,0.000000458000,458
134,8022285054220315881,0.000000417000,417
135,-7679864212382637150,0.000000459000,459
136,342420841837678731,0.000000500000,500
137,-7337443370544958419,0.000000459000,459
138,-6995022528707279688,0.000000458000,458
139,4114278174457313509,0.000000500000,500
140,-2880744354249966179,0.000000500000,500
141,1233533820207347330,0.000000500000,500
142,-1647210534042618849,0.000000500000,500
143,-413676713835271519,0.000000459000,459
144,-2060887247877890368,0.000000542000,542
145,-2474563961713161887,0.000000459000,459
146,-4535451209591052255,0.000000500000,500
147,-7010015171304214142,0.000000458000,458
148,6901277692814285219,0.000000542000,542
149,-108737478489928923,0.000000500000,500
150,6792540214324356296,0.000000542000,542
151,6683802735834427373,0.000000542000,542
152,-4970401123550767947,0.000000583000,583
153,1713401612283659426,0.000000416000,416
154,-3256999511267108521,0.000000500000,500
155,-1543597898983449095,0.000000458000,458
156,-4800597410250557616,0.000000541000,541
157,-6344195309234006711,0.000000458000,458
158,7301951354224987289,0.000000542000,542
159,957756044990980578,0.000000500000,500
160,8259707399215967867,0.000000583000,583
161,9217463444206948445,0.000000417000,417
162,-969573230286635304,0.000000500000,500
163,8247890213920313141,0.000000500000,500
164,7278316983633677837,0.000000542000,542
165,-2920536876155560638,0.000000459000,459
166,4357780107478117199,0.000000500000,500
167,1437243231322556561,0.000000500000,500
168,5795023338800673760,0.000000542000,542
169,7232266570123230321,0.000000500000,500
170,-5419454164785647535,0.000000542000,542
171,1812812405337582786,0.000000542000,542
172,-3606641759448064749,0.000000541000,541
173,-1793829354110481963,0.000000500000,500
174,-5400471113558546712,0.000000584000,584
175,-7194300467669028675,0.000000500000,500
176,5851972492481976229,0.000000584000,584
177,-1342327975187052446,0.000000459000,459
178,4509644517294923783,0.000000500000,500
179,3167316542107871337,0.000000500000,500
180,7676961059402795120,0.000000542000,542
181,-7602466472198885159,0.000000500000,500
