Index,Fibonacci Number,Execution Time (seconds),Execution Time (nanoseconds)
1,0.000000,0.000000167000,167
2,1.000000,0.000000042000,42
3,1.000000,0.000000083000,83
4,2.000000,0.000000083000,83
5,3.000000,0.000000083000,83
6,5.000000,0.000000166000,166
7,8.000000,0.000000250000,250
8,13.000000,0.000000334000,334
9,21.000000,0.000000458000,458
10,34.000000,0.000000625000,625
11,55.000000,0.000000917000,917
12,89.000000,0.000001500000,1500
13,144.000000,0.000002250000,2250
14,233.000000,0.000003542000,3542
15,377.000000,0.000005750000,5750
16,610.000000,0.000009250000,9250
17,987.000000,0.000014875000,14875
18,1597.000000,0.000025916000,25916
19,2584.000000,0.000038708000,38708
20,4181.000000,0.000076959000,76959
21,6765.000000,0.000100333000,100333
22,10946.000000,0.000162542000,162542
23,17711.000000,0.000262916000,262916
24,28657.000000,0.000430708000,430708
25,46368.000000,0.000693875000,693875
26,75025.000000,0.001165000000,1165000
27,121393.000000,0.001948292000,1948292
28,196418.000000,0.002918625000,2918625
29,317811.000000,0.008247417000,8247417
30,514229.000000,0.007608083000,7608083
31,832040.000000,0.014059833000,14059833
32,1346269.000000,0.020472583000,20472583
33,2178309.000000,0.024537375000,24537375
34,3524578.000000,0.031814583000,31814583
35,5702887.000000,0.046988583000,46988583
36,9227465.000000,0.075625875000,75625875
37,14930352.000000,0.116965708000,116965708
38,24157817.000000,0.190125042000,190125042
39,39088169.000000,0.310241542000,310241542
40,63245986.000000,0.496549625000,496549625
41,102334155.000000,0.861619208000,861619208
42,165580141.000000,1.291969875000,1291969875
43,267914296.000000,2.107648000000,2107648000
44,433494437.000000,3.439277375000,3439277375
45,701408733.000000,5.549707583000,5549707583
46,1134903170.000000,8.933859166000,8933859166
47,1836311903.000000,15.520872083000,15520872083
48,2971215073.000000,23.962991250000,23962991250
49,4807526976.000000,38.901814583000,38901814583
50,7778742049.000000,61.917985417000,61917985417
