Index,Fibonacci Number,Execution Time (seconds),Execution Time (nanoseconds)
1,0,0.000000625000,625
2,1,0.000000083000,83
3,1,0.000000083000,83
4,1,0.000000125000,125
5,2,0.000000083000,83
6,3,0.000000083000,83
7,5,0.000000125000,125
8,8,0.000000125000,125
9,13,0.000000209000,209
10,21,0.000000208000,208
11,34,0.000000208000,208
12,55,0.000000250000,250
13,89,0.000000167000,167
14,144,0.000000250000,250
15,233,0.000000208000,208
16,377,0.000000209000,209
17,610,0.000000208000,208
18,987,0.000000250000,250
19,1597,0.000000250000,250
20,2584,0.000000250000,250
21,4181,0.000000291000,291
22,6765,0.000000292000,292
23,10946,0.000000291000,291
24,17711,0.000000334000,334
25,28657,0.000000291000,291
26,46368,0.000000334000,334
27,75025,0.000000333000,333
28,121393,0.000000334000,334
29,196418,0.000000334000,334
30,317811,0.000000375000,375
31,514229,0.000000417000,417
32,832040,0.000000375000,375
33,1346269,0.000000417000,417
34,2178309,0.000000417000,417
35,3524578,0.000000416000,416
36,5702887,0.000000416000,416
37,9227465,0.000000459000,459
38,14930352,0.000000458000,458
39,24157817,0.000000500000,500
40,39088169,0.000000500000,500
41,63245986,0.000000500000,500
42,102334155,0.000000500000,500
43,165580141,0.000000542000,542
44,267914296,0.000000541000,541
45,433494437,0.000000542000,542
46,701408733,0.000000542000,542
47,1134903170,0.000000583000,583
48,1836311903,0.000000584000,584
49,2971215073,0.000000583000,583
50,4807526976,0.000000583000,583
51,7778742049,0.000000625000,625
52,12586269025,0.000000708000,708
53,20365011074,0.000000625000,625
54,32951280099,0.000000625000,625
55,53316291173,0.000000667000,667
56,86267571272,0.000000667000,667
57,139583862445,0.000000709000,709
58,225851433717,0.000000708000,708
59,365435296162,0.000000708000,708
60,591286729879,0.000000708000,708
61,956722026041,0.000000708000,708
62,1548008755920,0.000000750000,750
63,2504730781961,0.000082417000,82417
64,4052739537881,0.000000875000,875
65,6557470319842,0.000000791000,791
66,10610209857723,0.000000750000,750
67,17167680177565,0.000000792000,792
68,27777890035288,0.000000875000,875
69,44945570212853,0.000000875000,875
70,72723460248141,0.000000833000,833
71,117669030460994,0.000000834000,834
72,190392490709135,0.000000875000,875
73,308061521170129,0.000000875000,875
74,498454011879264,0.000000875000,875
75,806515533049393,0.000000875000,875
76,1304969544928657,0.000000875000,875
77,2111485077978050,0.000000917000,917
78,3416454622906707,0.000000917000,917
79,5527939700884757,0.000000958000,958
80,8944394323791464,0.000000917000,917
81,14472334024676221,0.000000958000,958
82,23416728348467685,0.000000958000,958
83,37889062373143906,0.000000958000,958
84,61305790721611591,0.000001000000,1000
85,99194853094755497,0.000000958000,958
86,160500643816367088,0.000001000000,1000
87,259695496911122585,0.000001000000,1000
88,420196140727489673,0.000001000000,1000
89,679891637638612258,0.000001042000,1042
90,1100087778366101931,0.000001042000,1042
91,1779979416004714189,0.000001166000,1166
92,2880067194370816120,0.000001084000,1084
93,4660046610375530309,0.000001084000,1084
94,7540113804746346429,0.000001083000,1083
95,-6246583658587674878,0.000001083000,1083
96,1293530146158671551,0.000001125000,1125
97,-4953053512429003327,0.000001125000,1125
98,-3659523366270331776,0.000001125000,1125
99,-8612576878699335103,0.000001167000,1167
100,6174643828739884737,0.000001250000,1250
101,-2437933049959450366,0.000001250000,1250
102,3736710778780434371,0.000001167000,1167
103,1298777728820984005,0.000001209000,1209
104,5035488507601418376,0.000001208000,1208
105,6334266236422402381,0.000001208000,1208
106,-7076989329685730859,0.000001250000,1250
107,-742723093263328478,0.000001208000,1208
108,-7819712422949059337,0.000001250000,1250
109,-8562435516212387815,0.000001250000,1250
110,2064596134548104464,0.000001333000,1333
111,-6497839381664283351,0.000001291000,1291
112,-4433243247116178887,0.000001333000,1333
113,7515661444929089378,0.000001291000,1291
114,3082418197812910491,0.000001458000,1458
115,-7848664430967551747,0.000001334000,1334
116,-4766246233154641256,0.000001375000,1375
117,5831833409587358613,0.000001041000,1041
118,1065587176432717357,0.000001042000,1042
119,6897420586020075970,0.000001000000,1000
120,7963007762452793327,0.000001042000,1042
